item_no,url,dispozice,cena,metry,cena_na_metr,realitka,ulice,ctvrt,podctvrt
SREALITY3426610268,https://www.sreality.cz/detail/prodej/byt/atypická/praha-nove-mesto-dlazdena/3426610268#img=0&fullscreen=false,atypická,18184000,N/A,N/A,"PSN, s.r.o.",Dlážděná,Praha 1,Nové Město
SREALITY1953995868,https://www.sreality.cz/detail/prodej/byt/atypická/praha-vinohrady-korunni/1953995868#img=0&fullscreen=false,atypická,1,N/A,N/A,N/A,Korunní,Praha 10,Vinohrady
SREALITY261472092,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-malesice-malesicka/261472092#img=0&fullscreen=false,3+kk,9804086,84,116715,N/A,Malešická,Praha 10,Malešice
SREALITY272694876,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-michle-u-plynarny/272694876#img=0&fullscreen=false,2+kk,5443617,57,95502,N/A,U Plynárny,Praha 4,Michle
SREALITY625016412,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-michle-u-plynarny/625016412#img=0&fullscreen=false,1+kk,3884706,37,104992,N/A,U Plynárny,Praha 4,Michle
SREALITY1413230172,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-smichov-podbelohorska/1413230172#img=0&fullscreen=false,4+kk,17901007,113,158415,N/A,Podbělohorská,Praha 5,Smíchov
SREALITY1655282780,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-podbelohorska/1655282780#img=0&fullscreen=false,3+kk,12161012,86,141407,N/A,Podbělohorská,Praha 5,Smíchov
SREALITY2229022300,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-podbelohorska/2229022300#img=0&fullscreen=false,2+kk,8046090,54,149001,N/A,Podbělohorská,Praha 5,Smíchov
SREALITY3436200284,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-malesice-malesicka/3436200284#img=0&fullscreen=false,3+kk,9055122,77,117598,N/A,Malešická,Praha 10,Malešice
SREALITY4256235100,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-michle-u-plynarny/4256235100#img=0&fullscreen=false,1+kk,3825579,37,103394,N/A,U Plynárny,Praha 4,Michle
SREALITY2599390812,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-modrany-vorarska/2599390812#img=0&fullscreen=false,3+kk,8911000,94,94797,"Sekyra Group, a.s.",Vorařská,Praha 4,Modřany
SREALITY1943264860,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nove-mesto-tyrsova/1943264860#img=0&fullscreen=false,2+kk,9685929,85,113952,GARTAL,Tyršova,Praha 2,Nové Město
SREALITY2030124124,https://www.sreality.cz/detail/prodej/byt/atypická/praha-nove-mesto-legerova/2030124124#img=0&fullscreen=false,atypická,9595250,N/A,N/A,GARTAL,Legerova,Praha 2,Nové Město
SREALITY2882468956,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-kyje-herdovska/2882468956#img=0&fullscreen=false,3+kk,10980200,101,108714,GARTAL,Herdovská,Praha 9,Kyje
SREALITY3821460572,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-liben-kovarska/3821460572#img=0&fullscreen=false,2+kk,5645250,48,117609,GARTAL,Kovářská,Praha 9,Libeň
SREALITY571997788,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-hloubetin-konzumni/571997788#img=0&fullscreen=false,2+kk,5431018,55,98745,GARTAL,Konzumní,Praha 9,Hloubětín
SREALITY1651493980,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-zabehlice-choceradska/1651493980#img=0&fullscreen=false,1+kk,3947724,37,106695,GARTAL,Choceradská,Praha 4,Záběhlice
SREALITY2740415580,https://www.sreality.cz/detail/prodej/byt/1+1/praha-branik-mezivrsi/2740415580#img=0&fullscreen=false,1+1,4500000,73,61643,"REDOT, s.r.o.",Mezivrší,Praha 4,Braník
SREALITY1272594268,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-karlin-rohanske-nabrezi/1272594268#img=0&fullscreen=false,1+kk,6394000,46,139000,"Sekyra Group, a.s.",Rohanské nábřeží,Praha,Karlín
SREALITY1811962972,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-strasnice-za-postou/1811962972#img=0&fullscreen=false,4+kk,9670000,92,105108,Duna House,Za poštou,Praha 10,Strašnice
SREALITY3651448412,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hodkovicky-sifarska/3651448412#img=0&fullscreen=false,4+kk,18887000,270,69951,"REAL DEVELOPMENT 2001, a.s.",Šífařská,Praha 4,Hodkovičky
SREALITY2007055964,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nusle-nuselska/2007055964#img=0&fullscreen=false,3+kk,9801522,81,121006,N/A,Nuselská,Praha 4,Nusle
SREALITY450117212,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-nusle-nuselska/450117212#img=0&fullscreen=false,4+kk,11966717,108,110802,N/A,Nuselská,Praha 4,Nusle
SREALITY2762227292,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-nusle-/2762227292#img=0&fullscreen=false,4+kk,10997037,111,99072,N/A,,Praha 4,Nusle
SREALITY2853076828,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-praha-4-branicka/2853076828#img=0&fullscreen=false,4+kk,12188938,116,105077,N/A,Branická,Praha 4,
SREALITY3008958300,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nusle-nuselska/3008958300#img=0&fullscreen=false,3+kk,9303501,81,114858,N/A,Nuselská,Praha 4,Nusle
SREALITY1576095580,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-nusle-nuselska/1576095580#img=0&fullscreen=false,1+kk,4044554,34,118957,N/A,Nuselská,Praha 4,Nusle
SREALITY2856008796,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-nusle-nuselska/2856008796#img=0&fullscreen=false,4+kk,12122255,118,102730,N/A,Nuselská,Praha 4,Nusle
SREALITY581647452,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-nusle-nuselska/581647452#img=0&fullscreen=false,3+kk,9990634,91,109787,N/A,Nuselská,Praha 4,Nusle
SREALITY2499230812,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hlubocepy-kurandove/2499230812#img=0&fullscreen=false,3+kk,6890000,66,104393,Svoboda & Williams,Kurandové,Praha 5,Hlubočepy
SREALITY3017227356,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hlubocepy-kurandove/3017227356#img=0&fullscreen=false,3+kk,6900000,66,104545,Svoboda & Williams,Kurandové,Praha 5,Hlubočepy
SREALITY3769044060,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hlubocepy-kurandove/3769044060#img=0&fullscreen=false,4+kk,9890000,92,107500,Svoboda & Williams,Kurandové,Praha 5,Hlubočepy
SREALITY996027996,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-michle-u-plynarny/996027996#img=0&fullscreen=false,1+kk,4067080,37,109921,N/A,U Plynárny,Praha 4,Michle
SREALITY2926456412,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-michle-u-plynarny/2926456412#img=0&fullscreen=false,2+kk,5404389,54,100081,N/A,U Plynárny,Praha 4,Michle
SREALITY1247686236,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-michle-u-plynarny/1247686236#img=0&fullscreen=false,2+kk,5728988,56,102303,N/A,U Plynárny,Praha 4,Michle
SREALITY2435984476,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-michle-v-doline/2435984476#img=0&fullscreen=false,2+kk,6990000,61,114590,Duna House,V Dolině,Praha 10,Michle
SREALITY3766332508,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-holesovice-mala-plynarni/3766332508#img=0&fullscreen=false,3+kk,9250000,88,105113,N/A,Malá Plynární,Praha 7,Holešovice
SREALITY2667752540,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-holesovice-mala-plynarni/2667752540#img=0&fullscreen=false,3+kk,8790000,88,99886,N/A,Malá Plynární,Praha 7,Holešovice
SREALITY20200540,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-holesovice-mala-plynarni/20200540#img=0&fullscreen=false,3+kk,8750000,83,105421,N/A,Malá Plynární,Praha 7,Holešovice
SREALITY824458332,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-holesovice-mala-plynarni/824458332#img=0&fullscreen=false,2+kk,5190000,55,94363,N/A,Malá Plynární,Praha 7,Holešovice
SREALITY969342556,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-perucka/969342556#img=0&fullscreen=false,3+kk,8017000,88,91102,"PSN, s.r.o.",Perucká,Praha 2,Vinohrady
SREALITY1520479324,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-premyslovska/1520479324#img=0&fullscreen=false,3+kk,16750000,102,164215,Homeland.cz s.r.o.,Přemyslovská,Praha 3,Vinohrady
SREALITY675028060,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-vinohrady-/675028060#img=0&fullscreen=false,4+kk,24340578,125,194724,Homeland.cz s.r.o.,,Praha 2,Vinohrady
﻿item_no,url,dispozice,cena,metry,cena_na_metr,realitka,ulice,ctvrt,podctvrt
IDNES5fdc8725f5892c1f072e0ee3,https://reality.idnes.cz/detail/prodej/byt/praha-5-v-hurkach/5fdc8725f5892c1f072e0ee3/?s-et=flat&s-ot=sale&s-l=VUSC-19,2+kk 54 m²,5256847,N/A,N/A,EVROPA realitní kancelář,V hůrkách,Praha 5,Stodůlky
IDNES5f2c8f3b558f071c224dcb33,https://reality.idnes.cz/detail/prodej/byt/praha-10-vinohradska/5f2c8f3b558f071c224dcb33/?s-et=flat&s-ot=sale&s-l=VUSC-19,3+kk 97 m²,12703200,N/A,N/A,"CRESTYL real estate, s.r.o.",Vinohradská,Praha 10,Strašnice
IDNES5d08eab137ba4d47a35ebb03,https://reality.idnes.cz/detail/prodej/byt/praha-9-bryksova/5d08eab137ba4d47a35ebb03/?s-et=flat&s-ot=sale&s-l=VUSC-19,4+kk 130 m²,12269000,N/A,N/A,CANABA a. s.,Bryksova,Praha 9,Černý Most
IDNES5f6ca5040895b468c453cca3,https://reality.idnes.cz/detail/prodej/byt/praha-4-milevska/5f6ca5040895b468c453cca3/?s-et=flat&s-ot=sale&s-l=VUSC-19,4+kk 247 m²,N/A,N/A,N/A,NEXT REALITY GROUP a.s.,Milevská,Praha 4,Krč
IDNES5fb9a51ebccf3e11d5319873,https://reality.idnes.cz/detail/prodej/byt/praha-9-podebradska/5fb9a51ebccf3e11d5319873/?s-et=flat&s-ot=sale&s-l=VUSC-19,3+kk 79 m²,7104288,N/A,N/A,AdInternet s.r.o.,Poděbradská,Praha 9,Hloubětín
IDNES5f217c5837ba4d573c4b9763,https://reality.idnes.cz/detail/prodej/byt/praha-5-preslova/5f217c5837ba4d573c4b9763/?s-et=flat&s-ot=sale&s-l=VUSC-19,2+kk 52 m²,7088850,N/A,N/A,DUNA HOUSE,Preslova,Praha 5,Smíchov
IDNES5f04fc00558f076d1a1863e3,https://reality.idnes.cz/detail/prodej/byt/praha-6-drnovska/5f04fc00558f076d1a1863e3/?s-et=flat&s-ot=sale&s-l=VUSC-19,2+kk 54 m²,5244277,N/A,N/A,AdInternet s.r.o.,Drnovská,Praha 6,Ruzyně
IDNES5f75ad7f79550e36e24ada73,https://reality.idnes.cz/detail/prodej/byt/praha-6-za-vokovickou-vozovnou/5f75ad7f79550e36e24ada73/?s-et=flat&s-ot=sale&s-l=VUSC-19,2+1 69 m²,4999000,N/A,N/A,HVB Real Estate s.r.o.,Za vokovickou vozovnou,Praha 6,"Veleslavín, okres Praha"
IDNES5f2c8ffa37ba4d70f243e693,https://reality.idnes.cz/detail/prodej/byt/praha-10-vinohradska/5f2c8ffa37ba4d70f243e693/?s-et=flat&s-ot=sale&s-l=VUSC-19,1+kk 39 m²,5628200,N/A,N/A,"CRESTYL real estate, s.r.o.",Vinohradská,Praha 10,Strašnice
IDNES5f7b26757823811f303d8d53,https://reality.idnes.cz/detail/prodej/byt/praha-10/5f7b26757823811f303d8d53/?s-et=flat&s-ot=sale&s-l=VUSC-19,3+1 72 m²,8704350,N/A,N/A,AREZIDENCE,,Praha 10,Vršovice
IDNES5f5f60df9219f350c54f9f63,https://reality.idnes.cz/detail/prodej/byt/praha-5-na-zamysli/5f5f60df9219f350c54f9f63/?s-et=flat&s-ot=sale&s-l=VUSC-19,3+kk 71 m²,7000000,N/A,N/A,DUNA HOUSE,Na Zámyšli,Praha 5,Košíře
IDNES5f2c894e37ba4d387a198243,https://reality.idnes.cz/detail/prodej/byt/praha-5-graficka/5f2c894e37ba4d387a198243/?s-et=flat&s-ot=sale&s-l=VUSC-19,2+kk 63 m²,8131500,N/A,N/A,"CRESTYL real estate, s.r.o.",Grafická,Praha 5,Smíchov
IDNES5f9f4b0961b9697b3f74ea23,https://reality.idnes.cz/detail/prodej/byt/praha-10-korunni/5f9f4b0961b9697b3f74ea23/?s-et=flat&s-ot=sale&s-l=VUSC-19,atypického 130 m²,N/A,N/A,N/A,RE/MAX Czech Republic,Korunní,Praha 10,Vinohrady
IDNES5f95dda9eba41e3e455f56a3,https://reality.idnes.cz/detail/prodej/byt/praha-1-ujezd/5f95dda9eba41e3e455f56a3/?s-et=flat&s-ot=sale&s-l=VUSC-19,2+kk 46 m²,7700000,N/A,N/A,DUNA HOUSE,Újezd,Praha 1,Malá Strana
IDNES5fa3f0b471e43747ed129303,https://reality.idnes.cz/detail/prodej/byt/praha-5-na-zamysli/5fa3f0b471e43747ed129303/?s-et=flat&s-ot=sale&s-l=VUSC-19,2+kk 52 m²,5850000,N/A,N/A,Tempus Living,Na Zámyšli,Praha 5,Košíře
IDNES5eba5ad8558f0746d92dcc09,https://reality.idnes.cz/detail/prodej/byt/praha-5-podbelohorska/5eba5ad8558f0746d92dcc09/?s-et=flat&s-ot=sale&s-l=VUSC-19,2+kk 54 m²,8046090,N/A,N/A,JRD Development s.r.o.,Podbělohorská,Praha 5,Smíchov
IDNES5eb90cc337ba4d6118633a33,https://reality.idnes.cz/detail/prodej/byt/praha-5-podbelohorska/5eb90cc337ba4d6118633a33/?s-et=flat&s-ot=sale&s-l=VUSC-19,4+kk 113 m²,17901007,N/A,N/A,JRD Development s.r.o.,Podbělohorská,Praha 5,Smíchov
IDNES5f2c88ce37ba4d3651092b03,https://reality.idnes.cz/detail/prodej/byt/praha-6-ke-dvoru/5f2c88ce37ba4d3651092b03/?s-et=flat&s-ot=sale&s-l=VUSC-19,4+kk 136 m²,N/A,N/A,N/A,"CRESTYL real estate, s.r.o.",Ke dvoru,Praha 6,Vokovice
IDNES5f7c1a1e674fbb321f1b5893,https://reality.idnes.cz/detail/prodej/byt/praha-5-podbelohorska/5f7c1a1e674fbb321f1b5893/?s-et=flat&s-ot=sale&s-l=VUSC-19,3+kk 86 m²,12161012,N/A,N/A,JRD Development s.r.o.,Podbělohorská,Praha 5,Smíchov
IDNES5f7c1da632bb45552e1893b7,https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/5f7c1da632bb45552e1893b7/?s-et=flat&s-ot=sale&s-l=VUSC-19,2+kk 55 m²,4827018,N/A,N/A,JRD Development s.r.o.,U plynárny,Praha 4,Michle
IDNES5f90126b00555203ef4ad473,https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/5f90126b00555203ef4ad473/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=1,4+kk 98 m²,8746342,N/A,N/A,JRD Development s.r.o.,U plynárny,Praha 4,Michle
IDNES5f2c883b37ba4d31e9442f33,https://reality.idnes.cz/detail/prodej/byt/praha-6-ke-dvoru/5f2c883b37ba4d31e9442f33/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=1,5+kk 191 m²,N/A,N/A,N/A,"CRESTYL real estate, s.r.o.",Ke dvoru,Praha 6,Vokovice
IDNES5d10d062558f076adc38bff2,https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/5d10d062558f076adc38bff2/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=1,1+kk 37 m²,3825579,N/A,N/A,JRD Development s.r.o.,U plynárny,Praha 4,Michle
IDNES5d0baa42558f071c5e5d61b4,https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/5d0baa42558f071c5e5d61b4/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=1,2+kk 57 m²,5443617,N/A,N/A,JRD Development s.r.o.,U plynárny,Praha 4,Michle
IDNES5f2c8db037ba4d5c3f385df3,https://reality.idnes.cz/detail/prodej/byt/praha-10-vinohradska/5f2c8db037ba4d5c3f385df3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=1,2+kk 56 m²,7394000,N/A,N/A,"CRESTYL real estate, s.r.o.",Vinohradská,Praha 10,Strašnice
IDNES5d0b9a2a558f072dec5de3c3,https://reality.idnes.cz/detail/prodej/byt/praha-4-u-plynarny/5d0b9a2a558f072dec5de3c3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=1,1+kk 37 m²,3884706,N/A,N/A,JRD Development s.r.o.,U plynárny,Praha 4,Michle
IDNES5e5fb80937ba4d537803b2f3,https://reality.idnes.cz/detail/prodej/byt/praha-2-legerova/5e5fb80937ba4d537803b2f3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=1,1+kk 24 m²,3800000,N/A,N/A,DUNA HOUSE,Legerova,Praha 2,Nové Město
IDNES5fbb88bb8ebab417386d33e3,https://reality.idnes.cz/detail/prodej/byt/praha-3-ondrickova/5fbb88bb8ebab417386d33e3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=1,3+1 134 m²,8990000,N/A,N/A,Bohemian Estates International s. r.o.,Ondříčkova,Praha 3,"Žižkov, okres Praha"
IDNES5f2c8ff2558f071f8e56efe3,https://reality.idnes.cz/detail/prodej/byt/praha-10-vinohradska/5f2c8ff2558f071f8e56efe3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=1,2+kk 69 m²,9284100,N/A,N/A,"CRESTYL real estate, s.r.o.",Vinohradská,Praha 10,Strašnice
IDNES5daee100558f07053d036d03,https://reality.idnes.cz/detail/prodej/byt/praha-9/5daee100558f07053d036d03/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=1,5+kk 195 m²,14990000,N/A,N/A,NEXT REALITY GROUP a.s.,,Praha 9,Kbely
IDNES5f9a37f6b90a387dc00a97b3,https://reality.idnes.cz/detail/prodej/byt/praha-5-na-zamysli/5f9a37f6b90a387dc00a97b3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=1,3+kk 111 m²,5700000,N/A,N/A,DUNA HOUSE,Na Zámyšli,Praha 5,Košíře
IDNES5f2c8aca37ba4d45d8432273,https://reality.idnes.cz/detail/prodej/byt/praha-5-graficka/5f2c8aca37ba4d45d8432273/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=1,2+kk 62 m²,N/A,N/A,N/A,"CRESTYL real estate, s.r.o.",Grafická,Praha 5,Smíchov
IDNES5fc7d0c917dd4a237c6d7443,https://reality.idnes.cz/detail/prodej/byt/praha-5-preucilova/5fc7d0c917dd4a237c6d7443/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=1,1+kk 32 m²,3950000,N/A,N/A,DUNA HOUSE,Přeučilova,Praha 5,Stodůlky
IDNES5cc312c6a26e3a34c4361f23,https://reality.idnes.cz/detail/prodej/byt/praha-9-bryksova/5cc312c6a26e3a34c4361f23/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=1,2+kk 60 m²,5389000,N/A,N/A,CANABA a. s.,Bryksova,Praha 9,Černý Most
SREALITY1635966044,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-vokovice-/1635966044#img=0&fullscreen=false,4+kk,1,137,0,Homeland.cz s.r.o.,,Praha 6,Vokovice
SREALITY2424495196,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vokovice-/2424495196#img=0&fullscreen=false,3+kk,1,149,0,Homeland.cz s.r.o.,,Praha 6,Vokovice
SREALITY1143331932,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vokovice-ke-dvoru/1143331932#img=0&fullscreen=false,3+kk,10100600,96,105214,Homeland.cz s.r.o.,Ke dvoru,Praha 6,Vokovice
SREALITY3264601180,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vokovice-ke-dvoru/3264601180#img=0&fullscreen=false,3+kk,1,136,0,Homeland.cz s.r.o.,Ke dvoru,Praha 6,Vokovice
SREALITY2537872476,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-vokovice-ke-dvoru/2537872476#img=0&fullscreen=false,5+kk,1,192,0,Homeland.cz s.r.o.,Ke dvoru,Praha 6,Vokovice
SREALITY995892316,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vinohrady-/995892316#img=0&fullscreen=false,2+kk,11408958,52,219403,Homeland.cz s.r.o.,,Praha 2,Vinohrady
SREALITY1476857436,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vokovice-/1476857436#img=0&fullscreen=false,2+kk,7588000,67,113253,Homeland.cz s.r.o.,,Praha 6,Vokovice
SREALITY2412904284,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-velka-chuchle-/2412904284#img=0&fullscreen=false,4+kk,19360000,136,142352,Homeland.cz s.r.o.,,Praha 5,Velká Chuchle
SREALITY1557266268,https://www.sreality.cz/detail/prodej/byt/atypická/praha-velka-chuchle-/1557266268#img=0&fullscreen=false,atypická,42025000,N/A,N/A,Homeland.cz s.r.o.,,Praha 5,Velká Chuchle
SREALITY1110298204,https://www.sreality.cz/detail/prodej/byt/atypická/praha-smichov-erbenova/1110298204#img=0&fullscreen=false,atypická,29890000,N/A,N/A,"EBM Rent, s.r.o.",Erbenova,Praha 5,Smíchov
SREALITY3231891292,https://www.sreality.cz/detail/prodej/byt/atypická/praha-smichov-erbenova/3231891292#img=0&fullscreen=false,atypická,34290000,N/A,N/A,"EBM Rent, s.r.o.",Erbenova,Praha 5,Smíchov
SREALITY318787420,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-pitkovice-pecarkova/318787420#img=0&fullscreen=false,3+kk,9990000,200,49950,N/A,Pečárková,Praha 10,Pitkovice
SREALITY4057902172,https://www.sreality.cz/detail/prodej/byt/3+1/praha-stodulky-hostinskeho/4057902172#img=0&fullscreen=false,3+1,5300000,73,72602,N/A,Hostinského,Praha 5,Stodůlky
SREALITY797064796,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-praha-4-branicka/797064796#img=0&fullscreen=false,3+kk,9449135,87,108610,N/A,Branická,Praha 4,
SREALITY1631768156,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-praha-4-nuselska/1631768156#img=0&fullscreen=false,4+kk,10853585,112,96907,N/A,Nuselská,Praha 4,
SREALITY3196206684,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-branik-branicke-namesti/3196206684#img=0&fullscreen=false,2+kk,6909949,54,127962,N/A,Branické náměstí,Praha 4,Braník
SREALITY3464642140,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-praha-4-branicka/3464642140#img=0&fullscreen=false,3+kk,8727801,81,107750,N/A,Branická,Praha 4,
SREALITY3651448412,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hodkovicky-sifarska/3651448412#img=0&fullscreen=false,4+kk,18887000,270,69951,"REAL DEVELOPMENT 2001, a.s.",Šífařská,Praha 4,Hodkovičky
SREALITY4028448348,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-branik-/4028448348#img=0&fullscreen=false,2+kk,10500000,67,156716,Homeland.cz s.r.o.,,Praha 4,Braník
SREALITY3491577436,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-branik-/3491577436#img=0&fullscreen=false,4+kk,17090000,112,152589,Homeland.cz s.r.o.,,Praha 4,Braník
SREALITY3760012892,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-branik-/3760012892#img=0&fullscreen=false,3+kk,17350000,104,166826,Homeland.cz s.r.o.,,Praha 4,Braník
SREALITY3223141980,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-branik-/3223141980#img=0&fullscreen=false,5+kk,1,213,0,Homeland.cz s.r.o.,,Praha 4,Braník
SREALITY3132358236,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hodkovicky-/3132358236#img=0&fullscreen=false,3+kk,9600000,86,111627,Homeland.cz s.r.o.,,Praha 4,Hodkovičky
SREALITY3181370972,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-troja-pod-havrankou/3181370972#img=0&fullscreen=false,4+kk,23000000,143,160839,Homeland.cz s.r.o.,Pod Havránkou,Praha 8,Troja
SREALITY885116508,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-smichov-/885116508#img=0&fullscreen=false,4+kk,15804700,119,132812,Homeland.cz s.r.o.,,Praha 5,Smíchov
SREALITY3888238172,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-/3888238172#img=0&fullscreen=false,2+kk,7282300,57,127759,Homeland.cz s.r.o.,,Praha 5,Smíchov
SREALITY3463372380,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-troja-pod-havrankou/3463372380#img=0&fullscreen=false,3+kk,16000000,92,173913,Homeland.cz s.r.o.,Pod Havránkou,Praha 8,Troja
SREALITY3351367260,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-smichov-/3351367260#img=0&fullscreen=false,3+kk,11134300,82,135784,Homeland.cz s.r.o.,,Praha 5,Smíchov
SREALITY348245596,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-smichov-/348245596#img=0&fullscreen=false,5+kk,25348000,168,150880,Homeland.cz s.r.o.,,Praha 5,Smíchov
SREALITY4156673628,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-smichov-/4156673628#img=0&fullscreen=false,2+kk,8116300,61,133054,Homeland.cz s.r.o.,,Praha 5,Smíchov
SREALITY2425422172,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-liben-/2425422172#img=0&fullscreen=false,3+kk,9100000,72,126388,Homeland.cz s.r.o.,,Praha 8,Libeň
SREALITY382065756,https://www.sreality.cz/detail/prodej/byt/3+1/praha-cerny-most-vasatkova/382065756#img=0&fullscreen=false,3+1,2250000,80,28125,N/A,Vašátkova,Praha 9,Černý Most
SREALITY3801046108,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hodkovicky-/3801046108#img=0&fullscreen=false,3+kk,8700000,86,101162,Homeland.cz s.r.o.,,Praha 4,Hodkovičky
SREALITY2591501404,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-vokovice-/2591501404#img=0&fullscreen=false,2+kk,1,81,0,Homeland.cz s.r.o.,,Praha 6,Vokovice
SREALITY3512618844,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-vinohrady-/3512618844#img=0&fullscreen=false,1+kk,3980000,22,180909,Homeland.cz s.r.o.,,Praha 2,Vinohrady
SREALITY1754926172,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-stare-mesto-na-perstyne/1754926172#img=0&fullscreen=false,5+kk,19990000,169,118284,Homeland.cz s.r.o.,Na Perštýně,Praha 1,Staré Město
SREALITY4164688988,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-/4164688988#img=0&fullscreen=false,3+kk,19124423,92,207874,Homeland.cz s.r.o.,,Praha 2,Vinohrady
SREALITY969342556,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vinohrady-perucka/969342556#img=0&fullscreen=false,3+kk,8017000,88,91102,"PSN, s.r.o.",Perucká,Praha 2,Vinohrady
SREALITY4163124316,https://www.sreality.cz/detail/prodej/byt/1+kk/praha-kosire-/4163124316#img=0&fullscreen=false,1+kk,3770000,35,107714,TEMPUS LIVING s.r.o.,,Praha 5,Košíře
