item_no,url,dispozice,cena,metry,cena_na_metr,realitka,ulice,ctvrt,podctvrt
IDNES5f919e4591fc46400e3873d8,https://reality.idnes.cz/detail/prodej/byt/praha-3-sudomerska/5f919e4591fc46400e3873d8/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=10,2+1 67 m²,7700000,N/A,N/A,DUNA HOUSE,Sudoměřská,Praha 3,Žižkov
IDNES5d08de6d558f07773933e963,https://reality.idnes.cz/detail/prodej/byt/praha-9-bryksova/5d08de6d558f07773933e963/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=10,2+1 60 m²,5269000,N/A,N/A,CANABA a. s.,Bryksova,Praha 9,Černý Most
IDNES5f83214654328a278a7af2a3,https://reality.idnes.cz/detail/prodej/byt/praha-10/5f83214654328a278a7af2a3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=10,3+1 80 m²,8968850,N/A,N/A,AREZIDENCE,,Praha 10,Vršovice
IDNES5fe200c5749bfa40f459cbb3,https://reality.idnes.cz/detail/prodej/byt/praha-5-na-neklance/5fe200c5749bfa40f459cbb3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=10,1+kk 30 m²,3490000,N/A,N/A,MAXIMA REALITY,Na Neklance,Praha 5,Smíchov
IDNES5fe200b110282c5863544b63,https://reality.idnes.cz/detail/prodej/byt/praha-4-jeremenkova/5fe200b110282c5863544b63/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=10,2+1 50 m²,5490000,N/A,N/A,Churáček reality s.r.o.,Jeremenkova,Praha 4,Podolí
IDNES5fbb6987221e6d6a6f1d5673,https://reality.idnes.cz/detail/prodej/byt/praha-9-freyova/5fbb6987221e6d6a6f1d5673/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=10,1+kk 23 m²,2999000,N/A,N/A,Bohemian Estates International s. r.o.,Freyova,Praha 9,"Vysočany, okres Praha"
IDNES5f2c87fb37ba4d2c7e4343d3,https://reality.idnes.cz/detail/prodej/byt/praha-6-ke-dvoru/5f2c87fb37ba4d2c7e4343d3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=10,3+kk 96 m²,N/A,N/A,N/A,"CRESTYL real estate, s.r.o.",Ke dvoru,Praha 6,Vokovice
IDNES5fca6fd99e2ed422013c4c87,https://reality.idnes.cz/detail/prodej/byt/praha-4-hurbanova/5fca6fd99e2ed422013c4c87/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=10,1+1 44 m²,3300000,N/A,N/A,MAXIMA REALITY,Hurbanova,Praha 4,Krč
IDNES5f624961e9774538b86208a3,https://reality.idnes.cz/detail/prodej/byt/praha-9-vasatkova/5f624961e9774538b86208a3/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=10,3+1 81 m²,2760000,N/A,N/A,MAXIMA REALITY,Vašátkova,Praha 9,Černý Most
IDNES5f8586068f5e7d72fc674123,https://reality.idnes.cz/detail/prodej/byt/praha-4-pertoldova/5f8586068f5e7d72fc674123/?s-et=flat&s-ot=sale&s-l=VUSC-19&page=11,1+kk 31 m²,3690000,N/A,N/A,DUNA HOUSE,Pertoldova,Praha 4,Modřany
